Bedrijfsnaam,Website,Email,Telefoon,Adres,Sector,Land,ERP Score,Logistiek Score,Complexiteit Score,B2B Score,Groei Score,Email Geldig,Email Score,Email Reden,Omschrijving,Gevonden Op
Papeteries Aubry,https://www.aubry.be/nl/kartonnen-dozen/,aubry.papier@aubry.be,+32 2 522 09 21,,Verpakkingen,België,56,21,25,10,0,Ja,85,mx_verified,Voor het transport van uw producten biedt Papeteries Aubry u kartonnen dozen van hoge kwaliteit in kleine oplages of in een grote hoeveelheid aan.,2026-02-25T11:26:54.018Z
Logistiekdirect,https://www.logistiekdirect.be/verpakkingen/dozen,,02-5887005,,Verpakkingen,België,88,30,25,25,8,Nee,0,no_email_found,Dozen voor het verzenden en opslaan van diverse producten ✓ 100+ kartonnen dozen ✓ Maatwerk en personaliseren mogelijk ✓ Bestel nu,2026-02-25T11:26:54.871Z
Kartonnen dozen kopen?,https://goedverpakt.be/kartonnen-dozen,unknown@unknown.com,0057 21.3665,,Verpakkingen,België,66,30,10,18,8,Ja,85,mx_verified,"Bestel kartonnen dozen in alle maten. Stevig, voordelig en snel geleverd in België. Ontdek nu jouw ideale verpakking!",2026-02-25T11:26:56.230Z
123KartonnenDozen.be,https://www.123kartonnendozen.be/,,0 7521702 00,"Adres: Wittevrouwen 1, 1358CD Almere Telefoon: +31 (0)70 752 1702 Email: [email protected] Openingstijden: Ma - Do: 7:30 - 16:00 uur Vrij: 7:30 - 15:0",Verpakkingen,België,73,30,18,25,0,Nee,0,no_email_found,TOP CATEGORIEËN Dozen op maat! Gratis verzending!Vanaf 349 euro (excl.) Kwaliteit voor de juiste prijs!Altijd de scherpste prijzen KlantenserviceDirect contact met een medewerker Dozen op maat 8 produ,2026-02-25T11:26:56.596Z
TransPak AG,https://www.transpak.de/,info@transpak.de,0800 210 0 21,,Verpakkingen,Duitsland,93,30,18,25,20,Ja,70,generic_address,Über 40.000 Artikel im Bereich Verpackungen & Verpackungsmaterial ✓ 50 Jahre Erfahrung an 18 Standorten ✓ Große Auswahl ✓ Günstige Preise ✓ Jetzt entdecken!,2026-02-25T11:27:00.897Z
BECKENZ GmbH,https://www.beckenz.de/,info@beckenz.dekontakt,012-0075224,,Verpakkingen,Duitsland,93,30,25,18,20,Nee,20,dns_lookup_failed,"BECKENZ GmbH steht für Exportverpackungen, Individual-Paletten & -Verpackungen, Servicedienstleistungen rund um Export- & Transportvorhaben sowie Anbieter von Palettenmöbeln und Brennholz",2026-02-25T11:27:00.933Z
Antalis Verpackungen,https://www.antalis-verpackungen.de/home/ueber-uns/antalis-deutschland,,,,Verpakkingen,Duitsland,50,30,10,2,8,Nee,0,no_email_found,"Das sind wir: Antalis Verpackungen - Experten für maßgeschneiderte Verpackungslösungen. Innovation, Qualität und internationale Betreuung.",2026-02-25T11:27:01.178Z
Recypack Webshop,https://www.recypack.de/de/unsere-firma,,072347828,Recypack GmbHPliniusstraße 848488 EmsbürenDeutschland05903 / 217 68 61[email protected],Verpakkingen,Duitsland,66,30,18,10,8,Nee,0,no_email_found,Recypack is een verpakkingsgroothandel voor de b2b. ,2026-02-25T11:27:01.302Z
OVOL,https://ovol.de/,compliance@ovol.de,0 72708 440,,Verpakkingen,Duitsland,65,30,25,2,8,Ja,85,mx_verified,"Die OVOL Deutschland Gruppe ist Teil ​der internationalen Vertriebs- und Handelsorganisation von Japan Pulp and Paper, einem der weltweit führenden Unternehmen in der Papierbranche mit über 100 Nieder",2026-02-25T11:27:02.632Z
Papier Karl GmbH & Co. KG - Kartonagenfabrik und Verpackungsgroßhandel,https://papierkarl.de/,info@papierkarl.de,+385457,,Verpakkingen,Duitsland,50,30,18,2,0,Ja,70,generic_address,Papier Karl Kartonagenfabrik bietet schnelle Produktion - beste Qualität | Verpackungswerk München | Kartonagen Bayern | Ihr zuverlässiger Lieferant,2026-02-25T11:27:05.618Z
CBH Moderne Verpackungen SW6,https://www.hoffmann-verpackung.de/,,0 6.6274-5.372,,Verpakkingen,Duitsland,57,30,25,2,0,Nee,0,no_email_found,Homepage Hoffmann Verpackung,2026-02-25T11:27:10.596Z
Streiff & Helmold,https://www.streiff.de/hochwertige-verpackungen/industrieverpackungen/,info@streiff.de,+4953180100,,Verpakkingen,Duitsland,65,30,25,2,8,Ja,70,generic_address,Robuste Verpackungslösungen aus Karton für die Industrie von Streiff & Helmold | Sicherer Transport & Lagerung von Industriegütern ➤ Jetzt Muster anfragen!,2026-02-25T11:27:13.621Z
Knipp GmbH,https://knipp-gmbh.de/,info@knipp-gmbh.de,06074-37566,,Verpakkingen,Duitsland,57,30,25,2,0,Ja,70,generic_address,Entdecken Sie innovative Verpackungen aus Kunststoff und Karton. Von Industrie- bis Verkaufsverpackungen - maßgeschneiderte Lösungen.,2026-02-25T11:27:20.326Z
MyPack,https://www.mypack.de/karton-grosshaendler,vertrieb@mypack.de,,,Verpakkingen,Duitsland,66,30,18,18,0,Ja,85,mx_verified,"MyPack-24 bietet Preiswerte Verpackungen und Verpackungsmaterial in Top-Qualität, zudem eine umfassende Produktpalette rund ums Verpacken, Versenden…",2026-02-25T11:27:24.563Z
"Kartons & Verpackungen ab € 0,08 > mdf-Verpackungen GmbH",https://www.mdf-verpackungen.de/,,0 6.6274-5.372,,Verpakkingen,Duitsland,81,30,25,18,8,Nee,0,no_email_found,"mdf-Verpackungen GmbH: Dein Hersteller für Kartons, Versandkartons & innovative Verpackungen. Über 8.000 Artikel direkt ab Lager!",2026-02-25T11:27:24.707Z
RAJAPACK: Verpackung & Verpackungsmaterial von Europas Nr.1,https://www.rajapack.de/,,,,Verpakkingen,Duitsland,65,30,25,10,0,Nee,0,no_email_found,"Verpackungen & mehr von RAJAPACK ✓ Für Versand, Lager & Büro ✓ 10.000+ Artikel ✓ Schnell geliefert ✓ Jetzt online bestellen!",2026-02-25T11:27:25.142Z
Bähr Verpackung,https://www.baehr-verpackung.de/kartons/,info@baehr-verpackung.de,0 6.6274-5.372,,Verpakkingen,Duitsland,73,30,18,25,0,Ja,70,generic_address,Kartons und Kartonagen online kaufen für Versand und Lager ✓ Über 400 Größen sofort verfügbar ✓ attraktive Staffelpreise. Jetzt bei Bähr Verpackung bestellen.,2026-02-25T11:27:25.425Z
Karton Hersteller,https://kartonagen-24.de/karton-hersteller-deutschland,verkauf@kartonagen-24.de,0188451707,,Verpakkingen,Duitsland,58,30,18,10,0,Ja,85,mx_verified,"Finden Sie den passenden Karton Hersteller für maßgeschneiderte Verpackungslösungen, die Ihre Produkte optimal schützen",2026-02-25T11:27:25.829Z
Heynen GmbH & Co. KG | Verpackungen & Kartonagen. | Hochwertig & Nachhaltig.,https://heynen-packaging.de/nl/,klevevertrieb@heynen-packaging.de,,,Verpakkingen,Duitsland,63,21,18,10,14,Ja,85,mx_verified,Kies diverse verpakkingsoplossingen voor industrie & handel: golfkarton & massief karton ✅ Primaire & secundaire verpakking ✅ Hoge beschikbaarheid,2026-02-25T11:27:26.102Z
Kosbahn Karton,https://www.kosbahn.de/nl/startseite-nederlands/,info@kosbahn.de,+31 6 46 10 04 96,,Verpakkingen,Duitsland,65,30,25,2,8,Ja,70,generic_address,Wij produceren en ontwikkelen verpakkingsoplossingen van golfkarton voor producten van alle soorten en maten. Vraag nu informatie aan!,2026-02-25T11:27:28.836Z
De top 100 grootste logistieke dienstverleners van Nederland,https://www.consultancy.nl/nieuws/12670/de-top-100-grootste-logistieke-dienstverleners-van-nederland,info@consultancy.nl,0260211092,,Logistiek & Transport,Nederland,70,30,18,2,20,Ja,70,generic_address,"DHL is veruit de grootste logistieke dienstverlener van ons land, gevolgd door DB Schenker en nieuwkomer in de top 3 XPO Logistics.",2026-02-25T11:27:33.354Z
Logistiek,https://www.logistiek.nl/logistieke-dienstverlening/top-100-ldv,dianeessenburg@vmnmedia.nl,0420302918,,Logistiek & Transport,Nederland,85,30,25,10,20,Ja,85,mx_verified,Ontdek de Top 100 logistieke dienstverleners (LDV) van Nederland. Vind het complete overzicht van de grootste spelers en uw ideale logistieke partner.,2026-02-25T11:27:33.473Z
Warehouse Totaal,https://www.warehousetotaal.nl/nieuws/top-100-logistiek-dienstverleners-2025-oude-koplopers-blijven-nieuwe-stijgers-verrassen/138698/,warehousetotaal@eisma.nlhoofdredacteur,+31 610146702,,Logistiek & Transport,Nederland,52,30,0,2,20,Nee,20,dns_lookup_failed,DHL staat ook in 2025 onbetwist bovenaan de ranglijst van logistieke dienstverleners in Nederland. Net als in de voorgaande drie jaar prijkt het bedrijf,2026-02-25T11:27:33.771Z
TTM.nl,https://www.ttm.nl/nieuws/top-100-logistiek-dienstverleners-dhl-aan-kop-vts-en-h-essers-krijgen-innovatie-award/169703/,lisette@vanatotliz.nl,+604800,,Logistiek & Transport,Nederland,54,30,0,10,14,Ja,85,mx_verified,DHL Supply Chain blijft ook dit jaar de nummer-1 logistiek dienstverlener van Nederland. In de jubileumeditie van de Top 100 Logistiek Dienstverleners,2026-02-25T11:27:34.033Z
i2o - Consultancy,https://www.i2oconsultancy.nl/bericht/top-100-logistieke-dienstverleners-2022/,info@i2oconsultancy.nl,00-2022-2-118,,Logistiek & Transport,Nederland,56,30,10,2,14,Ja,70,generic_address,Top 100 logistieke dienstverleners 2022 nog steeds vooral gebaseerd op omvang. i2o: innovatieve 'kleine' ondernemingen zijn de echte winnaars,2026-02-25T11:27:34.262Z
HST Groep,https://www.hst.nl/nieuws/top-100-logistiek-dienstverleners-2024/,info@hst.nl,026-01-29 08,,Logistiek & Transport,Nederland,68,30,0,18,20,Ja,70,generic_address,In 2024 stijgt HST Groep opnieuw in de Top 100 logistiek dienstverleners door onze focus op efficiëntie en duurzaamheid.,2026-02-25T11:27:34.613Z
"Top 100 Logistiek Dienstverleners: DHL, CEVA en GXO op podium",https://www.bciglobal.nl/top-100-logistiek-dienstverleners-dhl-ceva-en-gxo-op-podium,kees.verweij@bciglobal.com,+31 24 379 0222,,Logistiek & Transport,Nederland,70,30,18,2,20,Ja,85,mx_verified,,2026-02-25T11:27:34.779Z
Logistic Force,https://www.logisticforce.nl/top-100-logistiek-dienstverleners/,,026-02-17 15,,Logistiek & Transport,Nederland,62,30,10,2,20,Nee,0,no_email_found,Logistic Force is sponsor van de Top 100 Logistiek Dienstverleners.,2026-02-25T11:27:35.861Z
Transport Online,https://www.transport-online.nl/,info@transport-online.nlurl,0071992547,,Logistiek & Transport,Nederland,78,30,18,10,20,Nee,20,dns_lookup_failed,Home,2026-02-25T11:27:40.308Z
Driesen Transport,https://driesen.nl/,info@driesen.nl,,,Logistiek & Transport,Nederland,62,30,0,18,14,Ja,70,generic_address,"Driesen is uw logistieke partner voor het vervoer van kwetsbare goederen in Nederland en België. Wij verzorgen uw transport, distributie en warehousing.",2026-02-25T11:27:41.042Z
Onyx Trans,http://www.onyxtrans.nl/,info@onyxtrans.nl,,,Logistiek & Transport,Nederland,56,30,0,18,8,Ja,70,generic_address,"Ontdek Onyx Trans, dé specialist in expeditie, cargadoorsdiensten, en groothandel in bouwmaterialen en non-food consumentenartikelen. Wij bieden betrouwbare logistieke oplossingen en kwaliteitsproduct",2026-02-25T11:27:41.282Z
Transport en Logistiek Nederland,https://www.tln.nl/,info@tln.nl,088-4567567,,Logistiek & Transport,Nederland,87,30,25,18,14,Ja,70,generic_address,Dé ondernemersorganisatie voor de transport- en logistieksector in Nederland en Europa. TLN ondersteunt ondernemers voor een duurzame logistieke sector.,2026-02-25T11:27:41.615Z
KLC Transport,https://www.klctransport.nl/,info@klctransport.nl,06 27 17 82 25,,Logistiek & Transport,Nederland,66,30,10,18,8,Ja,70,generic_address,,2026-02-25T11:27:42.327Z
Van Bussel Logistics,https://vanbussellogistics.nl/,info@vanbussellogistics.nl,,,Logistiek & Transport,Nederland,64,30,10,10,14,Ja,70,generic_address,"Inhoud van de homepage, je kunt deze pagina verwijderen als je hem niet nodig hebt",2026-02-25T11:27:44.336Z
Sluyter Logistics,https://sluyter-logistics.nl/technische-groothandels/,slr@sluyter-logistics.nl,044878797,,Logistiek & Transport,Nederland,80,30,18,18,14,Ja,85,mx_verified,Wij zijn dé logistieke partner voor technische groothandels. Lees hier alles over de mogelijkheden.,2026-02-25T11:27:50.793Z
"Warehouse Manager: Salaris, Opleiding, Taken & Vaardigheden",https://www.nationaleberoepengids.nl/warehouse-manager,,0000000000,,Logistiek & Transport,Nederland,86,30,18,18,20,Nee,0,no_email_found,Wil je Warehouse Manager worden? Vind alle info! Salaris ✅ Functie ✅ Vacatures ✅ Opleiding ✅ Toekomst ✅,2026-02-25T11:27:55.907Z
Chain Logistics,https://www.chain-logistics.nl/warehousing/,sales@chain-logistics.nl,026-02-17 15,,Logistiek & Transport,Nederland,85,30,25,10,20,Ja,70,generic_address,"Op zoek naar tijdelijke of permanente opslagruimte van uw goederen? Professioneel, veilig én voordelig. Bekijk al onze warehousing mogelijkheden.",2026-02-25T11:27:56.876Z
Chasingthedream.nl,https://chasingthedream.nl/warehouse-nederlands/,,025-11-30 09,,Logistiek & Transport,Nederland,77,30,25,2,20,Nee,0,no_email_found,"In de hedendaagse Nederlandse logistiek speelt het begrip warehouse Nederlands een centrale rol. Het gaat verder dan een simpele opslagplaats; het is een integrale schakel in supply chains, die effici",2026-02-25T11:27:57.916Z
GD-iTS,https://gd-its.nl/services/warehousing/warehouse-management/,sales@doesburg-transport.nl,026-01-29 08,,Logistiek & Transport,Nederland,78,30,10,18,20,Ja,70,generic_address,,2026-02-25T11:27:58.103Z
YoungCapital,https://www.youngcapital.nl/beroepengids/logistiek-transport/warehouse-manager,info@youngcapital.nl,+31206531544,,Logistiek & Transport,Nederland,85,30,25,10,20,Ja,70,generic_address,"Op zoek naar een leidinggevende uitdaging in de logistiek? Denk eens aan een baan als warehouse manager. Check hier het salaris, de taken en meer.",2026-02-25T11:27:58.218Z
Prospect Transport & Logistiek,https://prospect-logistiek.nl/warehousing-nederland/,info@prospect-logistiek.nl,0-86.51-14.124-,,Logistiek & Transport,Nederland,70,30,18,2,20,Ja,70,generic_address,"Betrouwbare Warehousing Nederland met veilige opslag, voorraadbeheer en efficiënte distributie voor jouw logistieke behoeften.",2026-02-25T11:28:00.366Z
Michael Page,https://www.michaelpage.nl/jobs/warehouse-management/netherlands,,000082467,,Logistiek & Transport,Nederland,93,30,25,18,20,Nee,0,no_email_found,Zoek naar Warehouse Management vacatures in Nederland bij 's werelds topbedrijven via Netherlands meest toonaangevende recruitment consultancy bedrijf - Michael Page.,2026-02-25T11:28:04.363Z
Logistiek.be,https://www.logistiek.be/,christophe@logistiek.be,017511-250,,Logistiek & Transport,België,70,30,10,10,20,Ja,85,mx_verified,"Blijf op de hoogte over logistiek, transport & Supply Chain Logistiek.TV          Vacatures          Nieuwsbrief",2026-02-25T11:28:07.967Z
JDL Consulting,https://www.jdlconsulting.be/,jurgen@jdlconsulting.be,0578.859.772,,Logistiek & Transport,België,93,30,25,18,20,Ja,85,mx_verified,"JDL Consulting is een veelzijdige logistieke dienstverlener, gelegen in de industriezone te Kampenhout-sas centraal gelegen tussen Mechelen, Leuven en Brussel.",2026-02-25T11:28:08.352Z
LINDD,https://www.lindd.be/,info@lindd.be,0541499001,,Logistiek & Transport,België,100,30,25,25,20,Ja,70,generic_address,LINDD toonaangevend dienstverlener van 360° logistieke oplossingen voor zowel regulier als gekoeld transport. Ook het 1000m2 LINDDwarehouse speelt een triviale rol in het bieden van toegevoegde waarde,2026-02-25T11:28:08.632Z
Warehousing & Logistiek,https://www.xwift.be/warehousing-logistiek,transport@xwift.be,0464.886.950,,Logistiek & Transport,België,65,30,10,25,0,Ja,85,mx_verified,Xwift | Home,2026-02-25T11:28:09.153Z
Hamann,https://www.hamann.be/,info@hamann.be,0873604566,,Logistiek & Transport,België,64,30,10,10,14,Ja,70,generic_address,"Wens je een zending van punt a naar punt b te krijgen binnen Europa incl. de GOS landen ? Als toonaangevende logistieke speler organiseren we jouw logistieke activiteiten, inclusief douane, opslag en ",2026-02-25T11:28:09.771Z
Logistiek,https://www.belocal.be/logistiek/,,0463.769.668,,Logistiek & Transport,België,85,30,25,10,20,Nee,0,no_email_found,Logistiek: vind hier de beste logistiek bedrijven en verfijn op gemeentes in uw buurt.,2026-02-25T11:28:10.437Z
TDL Group,https://www.tdlgroup.be/,,,,Logistiek & Transport,België,70,30,10,10,20,Nee,0,no_email_found,TDL Group is actief in vier verschillende transport- en logistiekniches. De groep wil voor zijn klanten een dienstverlener zijn die toegevoegde waarde creëert en neemt hiermee een vrij unieke plek in ,2026-02-25T11:28:12.044Z
BD Logistics,https://bdlogistics.be/,info@bdlogistics.be,0786.536.277,,Logistiek & Transport,België,64,30,10,10,14,Ja,70,generic_address,"BD Logistics is de Belgische specialist in leveringen en ophalingen met toegevoegde waarde. Dankzij ons unieke netwerk van lokale depots bieden we ongeëvenaarde, fijnmazige toegang tot consumenten en ",2026-02-25T11:28:12.102Z
Nissin Belgium,https://www.nissin.be/nl/,howcanihelpyou@be.nissin-eu.com,025-11-30 09,,Logistiek & Transport,België,65,30,25,2,8,Ja,85,mx_verified,We maken transport en logistiek eerlijk en eenvoudig. Freightforward.,2026-02-25T11:28:12.122Z
Transport België,https://www.tvplogistics.be/,info@tvp-logistics.be,015 62 34 95 0,,Logistiek & Transport,België,60,30,0,10,20,Ja,70,generic_address,"Als u logistieke oplossingen zoekt, die aansluiten bij uw wensen, kies dan voor TVP-Logistics. Alles gebeurt met moderne technologie.",2026-02-25T11:28:15.714Z
Bauwens Logistics,http://bauwens-logistics.be/,info@bauwens-logistics.be,03 790 19 00,,Logistiek & Transport,België,56,30,10,2,14,Ja,70,generic_address,,2026-02-25T11:28:16.687Z
Groep Meers,https://www.meers-transport.be/,info@meers-transport.be,0000000000,,Logistiek & Transport,België,85,30,25,10,20,Ja,70,generic_address,"Groep Meers biedt als logistieke partner alle oplossingen voor vervoer en opslag. Bulktransport, (on)verpakt goederentransport, warehousing. Volledige logistieke afhandeling van en naar de Benelux, Fr",2026-02-25T11:28:17.071Z
Vandelanotte,https://www.vandelanotte.be/nl/ons-aanbod/transport-logistiek-groothandel,contact@vdl.be,+32 56 43 80 60,,Logistiek & Transport,België,64,21,25,10,8,Ja,70,generic_address,"Actief in transport, logistiek of groothandel? Dan moet je met heel wat zaken rekening houden op fiscaal, juridisch, sociaal en economisch vlak. Onze experten volgen de wijzigingen in de wet voor je o",2026-02-25T11:28:18.958Z
Transport Michiels,https://transportmichiels.be/,info@transportmichiels.be,015 22 25 54,,Logistiek & Transport,België,79,30,25,10,14,Ja,70,generic_address,Uw toegewijde en flexibele partner voor transport en logistiek Vraag NU uw offerte aan speciaal transport Kraanwagens Container chassis Haakwagens Walking floors Kippers Diepladers Uitzonderlijk trans,2026-02-25T11:28:19.880Z
transportandlogisticsbelgium.be,https://www.transportandlogisticsbelgium.be/,,+604800,,Logistiek & Transport,België,66,30,18,10,8,Nee,0,no_email_found,"Ontdek de krachtige alliantie van TLB, die de belangen van de Belgische transport- en logistieke sector behartigt en unieke lid identiteiten respecteert.",2026-02-25T11:28:25.263Z
92 jobs voor warehouse manager gevonden,https://www.vdab.be/vindeenjob/jobs/warehouse-manager,,0800 30 700,,Logistiek & Transport,België,77,30,25,2,20,Nee,0,no_email_found,Ontdek 92 openstaande vacatures voor warehouse manager op VDAB.be. Zoek snel en gemakkelijk in onze jobdatabank. Vind de job van je dromen.,2026-02-25T11:28:30.385Z
Warehouse manager,https://www.msf-azg.be/nl/job/warehouse-manager,,0000 0000 60,,Logistiek & Transport,België,85,30,25,10,20,Nee,0,no_email_found,"Als Magazijnbeheerder blink je uit in Voorraadbeheer bij AZG, Supply Chain, Logistiek, Magazijnbeheer en Middelenallocatie",2026-02-25T11:28:31.150Z
Business meets IT,https://businessmeetsit.be/warehouse-management-systemen-wms-en-digitalisering-in-warehousing-en-transport-belgie/,,025-11-30 09,,Logistiek & Transport,België,52,30,0,2,20,Nee,0,no_email_found,"De logistieke sector verandert snel. Bedrijven verwachten korte levertijden, foutloze orderverwerking en volledige transparantie. Om...",2026-02-25T11:28:32.757Z
Michael Page België,https://www.michaelpage.be/nl/jobs/warehouse-management/belgium,,012026-6913,,Logistiek & Transport,België,93,30,25,18,20,Nee,0,no_email_found,Zoek naar Warehouse Management banen in België bij 's werelds topbedrijven via BELGIUMs meest toonaangevende recruitment consultancy bedrijf - Michael Page België.,2026-02-25T11:28:36.713Z
Page Personnel Belgium,https://www.pagepersonnel.be/jobs/warehouse,,092025-6842,,Logistiek & Transport,België,85,30,25,10,20,Nee,0,no_email_found,Search for Warehouse jobs at some of the world's top companies using BELGIUM's leading recruitment consultancy - Page Personnel Belgium.,2026-02-25T11:28:36.942Z
stepstone.be,https://www.stepstone.be/jobs/warehouse/,,03-0101-0011,,Logistiek & Transport,België,100,30,25,25,20,Nee,0,no_email_found,Warehouse Jobs at StepStone BE. Search for your Warehouse Job and love your next job.,2026-02-25T11:28:37.945Z
Logistikdienstleister,https://www.dachser.de/de/,,,,Logistiek & Transport,Duitsland,73,30,25,10,8,Nee,0,no_email_found,Als globaler Logistikdienstleister verfügt DACHSER über ein weltweites Transportnetzwerk mit hohen Qualitätsstandards für kundenindividuelle Anforderungen.,2026-02-25T11:28:42.939Z
Logistics Provider,https://www.metro-logistics.de/en/,info@metro-logistics.de,056 4.06446 1,,Logistiek & Transport,Duitsland,65,30,25,10,0,Ja,70,generic_address,Use our reliable and efficient logistics network today for your challenges tomorrow.,2026-02-25T11:28:43.131Z
Lufapak Fulfillment Lager Logistik,https://www.lufapak.de/,sales@lufapak.de,0000000000,,Logistiek & Transport,Duitsland,88,30,25,25,8,Ja,70,generic_address,Lufapak bietet seit Jahrzehnten maßgeschneiderte Lösungen für effiziente Lagerung und Logistik in Europa mit weltweitem Versand – Fullfillment seit 1998,2026-02-25T11:28:43.267Z
HUETTEMANN Group,https://www.huettemann-logistik.de/nl/,a.bliesener@huelog.de,05.2024 616,,Logistiek & Transport,Duitsland,64,30,10,10,14,Ja,85,mx_verified,Bij de Huettemann Group gaan we al meer dan 65 jaar elke dag complexe logistieke uitdagingen aan.,2026-02-25T11:28:43.472Z
deutschland.de,https://www.deutschland.de/en/topic/business/logistics-in-germany-supply-chains-transport-planning,,,,Logistiek & Transport,Duitsland,64,30,18,2,14,Nee,0,no_email_found,Logistics - made in Germany: discover how German logistics companies work and why they are so highly regarded around the world.,2026-02-25T11:28:43.534Z
Gercam Freight Logistics,https://gercamfreight.de/german-logistics-freight-forwarding-in-germany/,info@gercamfreight.de,024-05-27-02-4,,Logistiek & Transport,Duitsland,85,30,25,10,20,Ja,70,generic_address,"Looking for reliable German logistics services? Discover top freight forwarding companies in Germany, supply chain solutions, and logistics trends. Optimize your shipping today!",2026-02-25T11:28:44.594Z
FLEX. Logistik,https://flexlogistik.de/,,,,Logistiek & Transport,Duitsland,81,30,25,18,8,Nee,0,no_email_found,"Your expert 3PL partner in Germany. We handle pre-Amazon storage, FBA prep, and forwarding to fulfillment centers in DE, PL & FR. Grow your e-commerce.",2026-02-25T11:28:46.288Z
ODG,https://overdegrens.de/,info@overdegrens.de,+49 2822 69 69 01,,Logistiek & Transport,Duitsland,56,30,0,18,8,Ja,70,generic_address,,2026-02-25T11:28:50.564Z
PFEIFER LOGISTIK GMBH - LKW-TRANSORTE - SPEDITION,https://logistik-pfeifer.de/en/company/,info@logistik-pfeifer.de,08 4.51957 0.1,,Logistiek & Transport,Duitsland,58,30,18,2,8,Ja,70,generic_address,"Send goods cheaply with Pfeifer Logistic. Reliable, fast and safe. Your freight forwarder from Germany.",2026-02-25T11:28:50.591Z
VOLLPRECHT Spezialtransporte,https://www.vollprecht-spezialtransporte.de/,info@vollprecht-spezialtransporte.devorname,00-8487-6366-,,Logistiek & Transport,Duitsland,93,30,25,18,20,Nee,20,dns_lookup_failed,"VOLLPRECHT Spezialtransporte ist Ihr erfahrener Partner für Spezial-, Schwer- und Übermaßtransporte in ganz Deutschland. Mit modernem Fuhrpark, bundesweiten Genehmigungen und geschultem Personal trans",2026-02-25T11:28:54.092Z
Heebink Transport,https://www.heebink.de/transport-deutschland/,info@heebink.nl,+31 318 52 94 00,,Logistiek & Transport,Duitsland,58,30,18,10,0,Ja,70,generic_address,,2026-02-25T11:28:54.632Z
Verhoek Europe,https://www.verhoek-europe.de/laender/transport-deutschland/,customerservice@verhoek-europe.com,0.058823529,,Logistiek & Transport,Duitsland,64,30,18,2,14,Ja,85,mx_verified,Verhoek Europe bietet zuverlässige und effiziente Transporte nach Deutschland. Entdecken Sie unsere Lösungen für Ihren Warentransport.,2026-02-25T11:28:55.567Z
Transport per Spedition beauftragen - Speditionskosten berechnen!,https://speditionsagentur.de/transportunternehmen-fuhrunternehmen/deutschland/,,025-10-26 03,,Logistiek & Transport,Duitsland,66,30,18,10,8,Nee,0,no_email_found,Deutschland-Transporte direkt kalkulieren und beauftragen • Mit uns finden Sie den Partner für europaweite LKW-Transporte,2026-02-25T11:28:55.722Z
NTU & Transalex Project GmbH,https://www.n-tu.de/,info@n-tu.de,026-02-22 05,,Logistiek & Transport,Duitsland,87,30,25,18,14,Ja,70,generic_address,lll➤ Die NTU & Transalex Network GmbH ist Ihr langjähriger Partner für Europaweite (Schwer-)Transporte und komplette Logistiklösungen!,2026-02-25T11:28:56.796Z
AdresseDirekt,https://adressedirekt.de/adresslisten/logistikunternehmen/,,+604800,,Logistiek & Transport,Duitsland,73,30,25,10,8,Nee,0,no_email_found,Tagesaktuelle Adressliste der Logistikunternehmen in Deutschland ✓ Branche: Dienstleistungen ✓ Jetzt Downloaden ✓ Inkl. E-Mail-Adressen ✓ Verifizierte Daten ✓,2026-02-25T11:28:59.216Z
"ITC Logistics | Transport, Spedition & Logistik",https://itc-logistic.de/internationale-transporte/deutschland-transport,815-688info@itc-logistic.comsales,0372491853,,Logistiek & Transport,Duitsland,57,30,25,2,0,Nee,20,dns_lookup_failed,"Täglicher Transport in Deutschland – Ihre Spedition für FTL, LTL, Sammelgut und Express | Jetzt anfragen: +49 2154 815-688",2026-02-25T11:29:02.397Z
PSIwms,https://www.psi.de/loesungen/produkte/psiwms,,+49 171 1234567,,Logistiek & Transport,Duitsland,70,30,18,2,20,Nee,0,no_email_found,"Als WMS-Anbieter mit jahrzehntelanger Erfahrung bieten wir Ihnen mit PSIwms ein flexibles und erprobtes Warehouse Management System. Es ermöglicht Ihnen, Ihre Lager- und Logistikprozesse transparent u",2026-02-25T11:29:06.735Z
warehouse manager English,https://englishjobs.de/jobs/warehouse_manager,,,,Logistiek & Transport,Duitsland,71,30,25,2,14,Nee,0,no_email_found,English-speaking job offers for warehouse manager in Germany,2026-02-25T11:29:06.895Z
Jungheinrich,https://www.jungheinrich.de/automatisierung/digitale-produkte-softwareloesungen/warehouse-management-systeme-wms,vertrieb-deutschland@jungheinrich.de,0 022258585,,Logistiek & Transport,Duitsland,79,30,10,25,14,Ja,85,mx_verified,"""WMS von Jungheinrich | Intelligente, zukunftssichere Lagerverwaltung mit System
✅ finden Sie die passende Lösung für Ihr Unternehmen!""",2026-02-25T11:29:06.899Z
ATA Solutions,https://ata-solutions.de/beste-wms-systeme-in-deutschland-und-fuer-den-deutschen-markt/,info@ata-solutions.de,0911249201,,Logistiek & Transport,Duitsland,56,30,10,2,14,Ja,70,generic_address,"Ein Warehouse Management System (WMS) ist heutzutage ein unverzichtbares Werkzeug für Unternehmen, die ihre Lagerprozesse optimieren und effizienter gestalten",2026-02-25T11:29:07.612Z
stepstone.de,https://www.stepstone.de/jobs/warehouse-manager/in-deutschland,info@stepstone.de,04-0101-0011,,Logistiek & Transport,Duitsland,100,30,25,25,20,Ja,70,generic_address,Warehouse Manager Jobs in Deutschland - Finden Sie passende Warehouse Manager Stellenangebote in Deutschland mit Stepstone!,2026-02-25T11:29:09.051Z
